Algorithm:		Bubble Sort         Merge Sort
Running Time:		22885561            2469752
Array size:		1000                1000
No. of key comparison:	255862              8705

Input	Bubble Sort	Merge Sort
1042200598	-2145053214	-2145053214
-653702955	-2137694232	-2137694232
1081785101	-2137064336	-2137064336
1450260584	-2137035230	-2137035230
-400836572	-2131803582	-2131803582
-1810033185	-2111128755	-2111128755
412861962	-2105364877	-2105364877
682519340	-2105360685	-2105360685
626717297	-2100284283	-2100284283
-588942294	-2099662766	-2099662766
385566325	-2096021006	-2096021006
1039662794	-2094110516	-2094110516
-1253673037	-2093331260	-2093331260
1788939262	-2090236776	-2090236776
445295438	-2089435716	-2089435716
-77646981	-2084674416	-2084674416
937449519	-2081122878	-2081122878
358412171	-2076716569	-2076716569
1403443265	-2061896821	-2061896821
1811540855	-2051484839	-2051484839
1503929471	-2047098588	-2047098588
-883390879	-2043120476	-2043120476
740138503	-2041687054	-2041687054
-1450130045	-2041095815	-2041095815
-1443285355	-2038756300	-2038756300
1425554469	-2037474064	-2037474064
-462957300	-2036620382	-2036620382
-914633522	-2030710632	-2030710632
-1433270529	-2029387641	-2029387641
430433921	-2020257617	-2020257617
1687682642	-2014926094	-2014926094
1090114045	-2014871008	-2014871008
2031424108	-2009158587	-2009158587
682169948	-2002387731	-2002387731
1293389460	-1993296545	-1993296545
-1803828860	-1979854214	-1979854214
-1892674706	-1978777088	-1978777088
2144913483	-1968811730	-1968811730
-129284178	-1967615024	-1967615024
-752973001	-1960074102	-1960074102
-1342270335	-1950464431	-1950464431
1530603590	-1947439732	-1947439732
1826178108	-1936498714	-1936498714
-1608290528	-1926345550	-1926345550
-1330045365	-1916675181	-1916675181
-1445765986	-1915037737	-1915037737
-1361995392	-1892674706	-1892674706
954188690	-1888146215	-1888146215
1580369445	-1881194248	-1881194248
842566702	-1873915692	-1873915692
111457160	-1865031181	-1865031181
731547774	-1864471151	-1864471151
352133337	-1863573742	-1863573742
-1967615024	-1862762238	-1862762238
-1243558001	-1862070553	-1862070553
341793796	-1849996463	-1849996463
2137644461	-1849387568	-1849387568
-1863573742	-1849375299	-1849375299
-849200989	-1847458636	-1847458636
1161012301	-1837099666	-1837099666
1596951968	-1824011214	-1824011214
984029226	-1821193357	-1821193357
-180868472	-1819301753	-1819301753
1754530455	-1817678530	-1817678530
-525804813	-1816003397	-1816003397
1500226342	-1810222316	-1810222316
-1640333604	-1810051846	-1810051846
-319986799	-1810033185	-1810033185
